family,psi_json,lam,lam_tie,reward_scale,kappa_t_max,kappa_t_json,sign_family,horizon,gamma,contest_gap_abs,contest_gap_norm,contest_occupancy_ref,margin_pos,margin_pos_norm,delta_d,mass_delta_d,policy_disagreement,start_state_flip,value_gap,value_gap_norm,clip_fraction,clip_inactive_fraction,clip_saturation_fraction,raw_local_deriv_mean,raw_local_deriv_p50,raw_local_deriv_p90,raw_local_deriv_max,raw_convergence_status,_promoted,_promotion_reason,promotion_mode
C,"{""L_tail"": 4, ""R_penalty"": 2.0, ""beta_raw_multiplier"": 64.0, ""gamma"": 0.95}",0.0,0.0,18.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.96]",1,4,0.95,0.0,0.0,1.0,0.005130408930199193,0.0002850227183443996,0.0037455500202863146,0.75,0.0,0,0.11949084085389394,0.006638380047438552,1.0,0.0,1.0,0.8912318268731025,1.0056253834411817,1.1218463782543073,1.1218463782543073,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 4, ""R_penalty"": 2.0, ""beta_raw_multiplier"": 128.0, ""gamma"": 0.95}",0.0,0.0,18.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.96]",1,4,0.95,0.0,0.0,1.0,0.005130408930199193,0.0002850227183443996,0.0037455500202863146,0.75,0.0,0,0.11949084085389394,0.006638380047438552,1.0,0.0,1.0,0.9003612934584301,1.0610519186444018,1.284838425799642,1.284838425799642,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 4, ""R_penalty"": 4.0, ""beta_raw_multiplier"": 4.0, ""gamma"": 0.95}",0.0,0.0,36.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.96]",1,4,0.95,0.0,0.0,1.0,0.005130408930199193,0.0001425113591721998,0.0037455500202863146,0.75,0.0,0,0.23898168170778789,0.006638380047438552,1.0,0.0,1.0,0.9450065213795021,0.9534755756544879,0.9608066197766351,0.9608066197766351,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 4, ""R_penalty"": 4.0, ""beta_raw_multiplier"": 8.0, ""gamma"": 0.95}",0.0,0.0,36.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.96]",1,4,0.95,0.0,0.0,1.0,0.005130408930199193,0.0001425113591721998,0.0037455500202863146,0.75,0.0,0,0.23898168170778789,0.006638380047438552,1.0,0.0,1.0,0.9400687617321054,0.9569516986851712,0.971616728694799,0.971616728694799,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 4, ""R_penalty"": 4.0, ""beta_raw_multiplier"": 16.0, ""gamma"": 0.95}",0.0,0.0,36.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.96]",1,4,0.95,0.0,0.0,1.0,0.005130408930199193,0.0001425113591721998,0.0037455500202863146,0.75,0.0,0,0.23898168170778789,0.006638380047438552,1.0,0.0,1.0,0.9304866730431122,0.9639052334964717,0.993236784058609,0.993236784058609,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 4, ""R_penalty"": 4.0, ""beta_raw_multiplier"": 32.0, ""gamma"": 0.95}",0.0,0.0,36.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.96]",1,4,0.95,0.0,0.0,1.0,0.005130408930199193,0.0001425113591721998,0.0037455500202863146,0.75,0.0,0,0.23898168170778789,0.006638380047438552,1.0,0.0,1.0,0.9132951784832823,0.9778149823567237,1.0364019360236554,1.0364019360236554,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 4, ""R_penalty"": 4.0, ""beta_raw_multiplier"": 64.0, ""gamma"": 0.95}",0.0,0.0,36.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.96]",1,4,0.95,0.0,0.0,1.0,0.005130408930199193,0.0001425113591721998,0.0037455500202863146,0.75,0.0,0,0.23898168170778789,0.006638380047438552,1.0,0.0,1.0,0.8912318268731025,1.0056253834411817,1.1218463782543073,1.1218463782543073,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 4, ""R_penalty"": 4.0, ""beta_raw_multiplier"": 128.0, ""gamma"": 0.95}",0.0,0.0,36.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.96]",1,4,0.95,0.0,0.0,1.0,0.005130408930199193,0.0001425113591721998,0.0037455500202863146,0.75,0.0,0,0.23898168170778789,0.006638380047438552,1.0,0.0,1.0,0.9003612934584301,1.0610519186444018,1.284838425799642,1.284838425799642,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 6, ""R_penalty"": 1.0, ""beta_raw_multiplier"": 4.0, ""gamma"": 0.95}",0.0,0.0,9.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.96]",1,6,0.95,0.0,0.0,1.0,0.0034202726201327956,0.0003800302911258662,0.002653419045293074,0.5,0.0,0,0.05638349567842971,0.006264832853158857,1.0,0.0,1.0,0.9472965803727055,0.9522611346828002,0.9608066197766351,0.9608066197766351,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 6, ""R_penalty"": 1.0, ""beta_raw_multiplier"": 8.0, ""gamma"": 0.95}",0.0,0.0,9.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.96]",1,6,0.95,0.0,0.0,1.0,0.0034202726201327956,0.0003800302911258662,0.002653419045293074,0.5,0.0,0,0.05638349567842971,0.006264832853158857,1.0,0.0,1.0,0.9446303658871426,0.9545225141172936,0.971616728694799,0.971616728694799,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 6, ""R_penalty"": 1.0, ""beta_raw_multiplier"": 16.0, ""gamma"": 0.95}",0.0,0.0,9.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.96]",1,6,0.95,0.0,0.0,1.0,0.0034202726201327956,0.0003800302911258662,0.002653419045293074,0.5,0.0,0,0.05638349567842971,0.006264832853158857,1.0,0.0,1.0,0.9394937139257292,0.9590459099603651,0.993236784058609,0.993236784058609,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 6, ""R_penalty"": 1.0, ""beta_raw_multiplier"": 32.0, ""gamma"": 0.95}",0.0,0.0,9.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.96]",1,6,0.95,0.0,0.0,1.0,0.0034202726201327956,0.0003800302911258662,0.002653419045293074,0.5,0.0,0,0.05638349567842971,0.006264832853158857,1.0,0.0,1.0,0.9305360120973797,0.9680945681030666,1.0364019360236554,1.0364019360236554,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 6, ""R_penalty"": 1.0, ""beta_raw_multiplier"": 64.0, ""gamma"": 0.95}",0.0,0.0,9.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.96]",1,6,0.95,0.0,0.0,1.0,0.0034202726201327956,0.0003800302911258662,0.002653419045293074,0.5,0.0,0,0.05638349567842971,0.006264832853158857,1.0,0.0,1.0,0.9208344504085858,0.9861938944207618,1.1218463782543073,1.1218463782543073,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 6, ""R_penalty"": 1.0, ""beta_raw_multiplier"": 128.0, ""gamma"": 0.95}",0.0,0.0,9.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.96]",1,6,0.95,0.0,0.0,1.0,0.0034202726201327956,0.0003800302911258662,0.002653419045293074,0.5,0.0,0,0.05638349567842971,0.006264832853158857,1.0,0.0,1.0,0.9369290787562585,1.0223569598178408,1.284838425799642,1.284838425799642,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 6, ""R_penalty"": 2.0, ""beta_raw_multiplier"": 4.0, ""gamma"": 0.95}",0.0,0.0,18.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.96]",1,6,0.95,0.0,0.0,1.0,0.0034202726201327956,0.0001900151455629331,0.002653419045293074,0.5,0.0,0,0.11276699135685941,0.006264832853158857,1.0,0.0,1.0,0.9472965803727055,0.9522611346828002,0.9608066197766351,0.9608066197766351,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 6, ""R_penalty"": 2.0, ""beta_raw_multiplier"": 8.0, ""gamma"": 0.95}",0.0,0.0,18.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.96]",1,6,0.95,0.0,0.0,1.0,0.0034202726201327956,0.0001900151455629331,0.002653419045293074,0.5,0.0,0,0.11276699135685941,0.006264832853158857,1.0,0.0,1.0,0.9446303658871426,0.9545225141172936,0.971616728694799,0.971616728694799,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 6, ""R_penalty"": 2.0, ""beta_raw_multiplier"": 16.0, ""gamma"": 0.95}",0.0,0.0,18.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.96]",1,6,0.95,0.0,0.0,1.0,0.0034202726201327956,0.0001900151455629331,0.002653419045293074,0.5,0.0,0,0.11276699135685941,0.006264832853158857,1.0,0.0,1.0,0.9394937139257292,0.9590459099603651,0.993236784058609,0.993236784058609,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 6, ""R_penalty"": 2.0, ""beta_raw_multiplier"": 32.0, ""gamma"": 0.95}",0.0,0.0,18.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.96]",1,6,0.95,0.0,0.0,1.0,0.0034202726201327956,0.0001900151455629331,0.002653419045293074,0.5,0.0,0,0.11276699135685941,0.006264832853158857,1.0,0.0,1.0,0.9305360120973797,0.9680945681030666,1.0364019360236554,1.0364019360236554,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 6, ""R_penalty"": 2.0, ""beta_raw_multiplier"": 64.0, ""gamma"": 0.95}",0.0,0.0,18.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.96]",1,6,0.95,0.0,0.0,1.0,0.0034202726201327956,0.0001900151455629331,0.002653419045293074,0.5,0.0,0,0.11276699135685941,0.006264832853158857,1.0,0.0,1.0,0.9208344504085858,0.9861938944207618,1.1218463782543073,1.1218463782543073,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 6, ""R_penalty"": 2.0, ""beta_raw_multiplier"": 128.0, ""gamma"": 0.95}",0.0,0.0,18.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.96]",1,6,0.95,0.0,0.0,1.0,0.0034202726201327956,0.0001900151455629331,0.002653419045293074,0.5,0.0,0,0.11276699135685941,0.006264832853158857,1.0,0.0,1.0,0.9369290787562585,1.0223569598178408,1.284838425799642,1.284838425799642,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
C,"{""L_tail"": 6, ""R_penalty"": 4.0, ""beta_raw_multiplier"": 4.0, ""gamma"": 0.95}",0.0,0.0,36.0,0.96,"[0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.9554925, 0.96]",1,6,0.95,0.0,0.0,1.0,0.0034202726201327956,9.500757278146655e-05,0.002653419045293074,0.5,0.0,0,0.22553398271371883,0.006264832853158857,1.0,0.0,1.0,0.9472965803727055,0.9522611346828002,0.9608066197766351,0.9608066197766351,not_evaluated,True,Family-C stress (raw_p90 > kappa_max AND clip_fraction > min),binding_clip
